ID,f,hemd
/*0116*/,0,0.65
/*0216*/,1,1
/*0316*/,1,0.55
/*0516*/,1,0.63
/*0616*/,1,0.77
/*0716*/,1,0.78
/*0816*/,1,0.78
/*1016*/,1,0.67
/*1216*/,0,0.83
/*1416*/,1,0.72
/*1516*/,0,0.78
/*1616*/,1,0.88
/*1716*/,1,0.65
/*1816*/,0,0.77
/*1916*/,0,0.72
/*2016*/,1,0.67
/*2116*/,0,0.83
/*2216*/,0,0.6
/*2416*/,1,0.73
/*2516*/,0,0.8
/*2616*/,0,0.8
/*2716*/,0,0.7
/*2816*/,0,0.73
/*2916*/,0,0.67
/*3016*/,1,0.75
/*3216*/,0,0.78
/*3316*/,1,0.78
/*3416*/,0,0.72
/*3516*/,1,0.72
/*3616*/,0,0.77
/*3716*/,1,0.78
/*3816*/,1,0.8
/*3916*/,1,0.78
/*4016*/,0,0.8
/*4116*/,0,0.78
/*4216*/,0,0.17
/*0115*/,0,0.78
/*0215*/,0,0.7
/*0315*/,0,0.77
/*0415*/,1,0.63
/*0515*/,1,0.77
/*0615*/,1,0.42
/*0915*/,1,0.83
/*1015*/,0,0.77
/*1115*/,0,0.52
/*1215*/,0,0.52
/*1315*/,1,0.42
/*1415*/,1,0.82
/*1515*/,0,0.5
/*1615*/,1,0.57
/*1715*/,0,0.78
/*1815*/,0,0.9
/*1915*/,1,0.83
/*2015*/,1,0.37
/*2115*/,0,0.58
/*2215*/,0,0.92
/*2315*/,1,0.48
/*2415*/,0,0.78
/*2515*/,0,0.83
/*2615*/,1,0.7
/*2715*/,0,0.4
/*2815*/,1,0.8
/*3015*/,0,0.73
/*3115*/,1,0.6
/*3215*/,0,0.75
,,
